Ano base,UF,Classe Substancia Mineral,Substancia Mineral,Quantidade (litros) Garrafao,Quantidade (litros) Garrafa Plastica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafao,Valor (R$) Garrafa Plastica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composiçao Produtos Industrializados,Valor (R$) Composiçao Produtos Industrializados,Unidade de Medida
2011,MG,Água,Água,"176946583,2","169953874,9",3369101,"3486401,1",834965,"16062433,29","139701238,2","6973569,04","3308667,39","610834,97","296413,45","20748,25",l
2011,MS,Água,Água,26081670,"8032430,35",0,"381433,44",224620,"2964484,53","8975055,77",0,"348279,61",117761,"9033144,95","4373059,2",l
2011,MT,Água,Água,"182522629,2","23465160,4",0,"2335858,4",0,"24051690,86","21631949,63",0,"2230249,81",0,0,0,l
2011,PA,Água,Água,245205884,"31353410,52",0,"1342101,8",0,"14761093,73","17131669,25",0,"962178,08",0,859736000,"116801,5",l
2011,PB,Água,Água,98066645,11268992,0,"559234,17",0,"9330769,1","10656772,62",0,"557140,26",0,66362961,"23147320,35",l
2011,PE,Água,Água,"971119135,1","13497370,43","299673,6",551172,0,"69904529,33","8037885,3","246759,5","419383,39",0,1174731272,"149096,93",l
2011,PI,Água,Água,21504280,2991744,0,509635,0,"1937646,39","2327788,07",0,"506595,53",0,0,0,l
2011,PR,Água,Água,156739407,"34119456,68",1160544,"4674770,4",364651,"47635239,68","35424081,01","1221215,64","4356127,09","335129,9","62767,69","6276771,16",l
2011,RJ,Água,Água,"359158676,3","78125650,44",301332,"4373731,4","23360311,79","18376148,97","49485986,27","87888,5","2268143,54","281965,44","5377155,3","93640,03",l
2011,RN,Água,Água,205250855,6394835,0,"728307,6",0,"11137064,85","4389905,32",0,"942018,54",0,0,0,l
2011,RO,Água,Água,122002324,"10516742,46",0,"871983,6",0,"11563929,52","8838267,08",0,"710693,72",0,0,0,l
2011,RR,Água,Água,4200884,"1624338,68",0,0,"106873,2",973165,"369669,81",0,0,"18702,72",0,0,l
2011,RS,Água,Água,"160707462,3","139456549,3",332148,3180641,6128190,"36032831,93","132164277,6","388833,14","3846110,56",253711,"51780580,4","65500,01",l
2011,SC,Água,Água,"119902168,3","30689059,95",4223,"815426,63","2293156,18","20080675,48","18201212,18","5215,66","836384,72","1152911,88",0,0,l
2011,SE,Água,Água,"78570498,26","9877235,48",0,1384086,0,"11082343,17","7442492,48",0,"1176090,77",0,0,0,l
2011,SP,Água,Água,"664664260,6","471532936,3","6646147,25","28463817,06","2005861,5","71033362,21","403665357,2","6849057,73","25171561,25","1102040,03","484814862,7","16335274,89",l
2011,TO,Água,Água,20361705,"2093667,84",0,"160970,8",0,"1862385,58","1730492,03",0,"137459,06",0,0,0,l
2012,AC,Água,Água,"58700125,9","4721729,1",0,0,0,"3432136,33","946144,32",0,0,0,0,0,l
2012,AL,Água,Água,148824207,"50811064,7",0,"4607350,28",0,"22770057,23","37892823,37",0,"3651623,69",0,0,0,l
2012,AM,Água,Água,127277181,"25831142,9",0,"605795,2",29561110,"15175518,33","20801959,74",0,"579025,62","8737386,75",33918337,"13951,37",l
2012,AP,Água,Água,"10166677,22","1583111,4",0,1196433,0,"1218671,59","113349,8",0,"80362,8",0,0,0,l
2012,BA,Água,Água,"546315438,9","82118961,15",0,"9482160,59","27316,3","45922435,1","60626582,75",0,"5647909,48",27804,1151293610,"32901087,1",l
2012,CE,Água,Água,"380889595,8","71983466,36","197591,99","1804712,12",1448303,"41002818,55","60168207,52",163392,"2334185,33","561221,27",0,0,l
2012,DF,Água,Água,"61617863,42",1858324,0,"635441,2",1072209,"9276511,75","1573796,13",0,"757369,06","558764,06",0,0,l
2012,ES,Água,Água,70507789,"9797649,83","137281,8",579142,17066503,"4243023,53","9090382,98","361662,6","553862,64","239774,24",0,0,l
2012,GO,Água,Água,"112916168,9","34740549,01",0,"2152723,26","6895303,2","21508358,75","19907553,76",0,"2307803,98","2881502,92","50543857,1","1206836,74",l
2012,MA,Água,Água,66600120,"15178922,88",0,"1530273,2","119577,6","10536721,65","15259481,46",0,"1896999,86","96226,73",128245594,"76497,56",l
2012,MG,Água,Água,"213878294,1","184952764,7",3134619,"4316762,84",2225780,"20262481,37","178563598,2","3539785,12","4280367,03","1596241,91","271118,03","19037,3",l
2012,MS,Água,Água,"31190836,4","10238176,38",0,"641744,56",641683,"3278266,16","12532498,27",0,"581769,95","299843,34","11851935,5","5768337,02",l
2012,MT,Água,Água,"204379895,9","26620566,71",0,"2904574,8",0,"29458880,94","25110804,42",0,"2828077,46",0,0,0,l
2012,PA,Água,Água,"256917170,2","35429192,88",0,"1563644,6",0,"16439362,83","18336101,58",0,"1332158,69",0,803001000,"116862,73",l
2012,PB,Água,Água,132672780,11953548,0,"639320,17",0,"11971940,81","10953644,61",0,"396040,26",0,66362961,"23147320,35",l
